,data,valor
0,01/01/2005,6725.02
1,01/01/2006,7114.47
2,01/01/2007,7433.15
3,01/01/2008,7725.57
4,01/01/2009,8036.42
5,01/01/2010,8607.46
6,01/01/2011,8748.26
7,01/01/2012,9623.41
8,01/01/2013,10206.64
9,01/01/2014,11325.33
10,01/01/2015,10532.8
11,01/01/2016,10796.26
12,01/01/2017,12609.31
13,01/01/2018,13152.98
14,01/01/2019,13861.08
