,data,valor
0,01/01/2005,3646.16
1,01/01/2006,3791.81
2,01/01/2007,3936.58
3,01/01/2008,3989.11
4,01/01/2009,4144.17
5,01/01/2010,4471.59
6,01/01/2011,4551.9
7,01/01/2012,4970.77
8,01/01/2013,5255.65
9,01/01/2014,6125.46
10,01/01/2015,5858.51
11,01/01/2016,6123.42
12,01/01/2017,6977.09
13,01/01/2018,7156.32
14,01/01/2019,7516.2
