,data,valor
0,01/01/2005,19768.4
1,01/01/2006,21618.72
2,01/01/2007,24356.38
3,01/01/2008,27110.96
4,01/01/2009,29227.27
5,01/01/2010,32774.9
6,01/01/2011,34357.49
7,01/01/2012,38968.5
8,01/01/2013,42763.43
9,01/01/2014,45310.86
10,01/01/2015,40859.14
11,01/01/2016,40561.74
12,01/01/2017,46953.39
13,01/01/2018,47738.5
14,01/01/2019,48172.02
